Test Case ID,Test Step,Window,Data Fields ,Data Values,Action,Condition,Browser,Field Name,Comments
21212121,1,E-Commerce URL,dt:eCommerceURL#1,,OPENURL,,common,Wait for home page,
21212121,2,Capture Screen,,21212121_Step2,CAPTURESCREEN,,common,Capture current Screen and save,
21212121,2,Capture Screen,,21212121_Step2,CAPTURESCREEN,,common,Capture current Screen and save,
21212121,2,Capture Screen,,21212121_Step2,CAPTURESCREEN,,common,Capture current Screen and save,
21212121,2,Capture Screen,,21212121_Step2,CAPTURESCREEN,,common,Capture current Screen and save,
21212121,2,Capture Screen,,21212121_Step2,CAPTURESCREEN,,common,Capture current Screen and save,
,,,,,, ,,,
176142,1,E-Commerce URL,dt:eCommerceURL#1,,OPENURL,,common,Wait for home page,
176142,2,Register Your kit,,registerYourKit,EXECUTETESTCASE,,common,Call registerYourKit function,
176142,3,Finish your Account,,FinishAccount,EXECUTETESTCASE,,common,Call FinishAccount function.,
176142,4,Verify After Registering,XPHobj:lblRYKSuccess,10000,WAITFORELEMENT,,common,Verify message after registering,
176142,5,Patient Logout,,PatientLogout,EXECUTETESTCASE,,common,Call Patient Logout function.,
176142,6,Staff Login,,StaffLogin,EXECUTETESTCASE,,common,Call StaffLogin function.,
176142,7,Check Record is in Waiting on Eval Kit,,CheckWaitingonEvalKit,EXECUTETESTCASE,,common,Call CheckWaitingonEvalKit function.,
176142,8,Verify RYK Code,,verifyRYKCode,EXECUTETESTCASE,,common,Call verifyRYKCode function,
176142,9,Staff Logout,,StaffLogout,EXECUTETESTCASE,,common,Call Staff Logout function.,
,,,,,,,,,
78593,1,Staff Login,,StaffLogin,EXECUTETESTCASE,,common,Call StaffLogin function.,
78593,2,Select 1st Record From Waiting on Photo Assessment List,,Select1FromWaitingonPhotoAssessment,EXECUTETESTCASE,,common,Call Select1FromWaitingonPhotoAssessment Function.,
78593,3,Get Current Email ID,,getCurrentEmail1,EXECUTETESTCASE,,common,Call getCurrentEmail1 Function.,
78593,4,Change Status to Need Clearance,,changeStatusCanceled,EXECUTETESTCASE,,common,Call changeStatusCanceled Function.,
78593,5,Staff Logout,,StaffLogout,EXECUTETESTCASE,,common,Call StaffLogout function.,
,,,,,,,,,
78594,1,Staff Login,,StaffLogin,EXECUTETESTCASE,,common,Call StaffLogin function.,
78594,2,Select 1st Record From Waiting on Scan,,Select1FromWaitingonScan,EXECUTETESTCASE,,common,Call Select1FromWaitingonScan Function.,
78594,3,Get Current Email ID,,getCurrentEmail1,EXECUTETESTCASE,,common,Call getCurrentEmail1 Function.,
78594,4,Change Status to Need Clearance,,changeStatusCanceled,EXECUTETESTCASE,,common,Call changeStatusCanceled Function.,
,,,,,,,,,
